,ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Contribution_ID,Word_ID,BorrowedScore,AgeScore,SimplicityScore,Borrowed,Analyzability,Age,ContactSituation,age_label,borrowed_base,calqued,colonial_word,comment_on_borrowed,comment_on_word_form,effect,etymological_note,gloss,grammatical_info,integration,lexical_stratum,loan_history,numeric_frequency,original_script,other_comments,reference,register,relative_frequency,salience,word_source,x1,word,origin_type,source_language,original_word,source_language_short,symbol,word_form_source,n,y,color,source_language_lumped
240,7626,13,8-48,rice,,,13,13,72212320927378708,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1234 [13],French contact [13],c. 1234,,,,,,Insertion,,,,,,,,,"The Tamil origin of this word has yet to be recognised by the Oxford English Dictionary, and indeed the Tamil form may be borrowed from Sanskrit vrihi, which has cognates in other Indo-Iranian languages. It reached from from Late Latin, which took it from Greek, which may have taken it from tamil.",,,,Present only since contact,,,rice,immediate,French,riz,French,,rice / riz,195,31,#221F1D,French
467,8245,13,18-32,reply,,,13,13,72212320680905227,1.0,1.0,0.75,1. clearly borrowed,semi-analyzable,c. 1385 [13],French contact [13],c. 1385,,,,,,Coexistence,,RE- + PLY ‘fold’,,,,,,,,,,,Present in pre-contact environment,,,reply,immediate,French,replier,French,,reply / replier,195,32,#221F1D,French
416,8130,13,16-34,regret,,,13,13,72212320728533876,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,14th century [13],French contact [13],14th century,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,regret,immediate,French,regretter,French,,regret / regretter,195,33,#221F1D,French
471,8250,13,18-37,refuse,,,13,13,72212320159103387,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,14th century [13],French contact [13],14th century,,,,,,No information,,,,,,,,,,,,,Present in pre-contact environment,,,refuse,immediate,French,refuser,French,,refuse / refuser,195,34,#221F1D,French
315,7809,13,10-67,push,,,13,13,72212320615558287,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,,push,immediate,French,pousser,French,,push / pousser,195,35,#221F1D,French
309,7798,13,10-53,pursue,,,13,13,72212320627522655,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1290 [13],French contact [13],c. 1290,,,,,,Insertion,,,,,,,,,,,,,Present in pre-contact environment,,,pursue,immediate,French,poursuivre,French,,pursue / poursuivre,195,36,#221F1D,French
264,7663,13,8-931,pumpkin,,,13,13,72212320799718258,1.0,0.9,0.5,1. clearly borrowed,analyzable derived,1647 [13],French contact [13],1647,,,,"Greek stem diffused via French, with Dutch diminutive suffix",,Insertion,,pompion-DIMIN,,,,,,,Greek to Late Latin to French ot English.,,,,Present only since contact,,781.0,pumpkin,immediate,French,pompion,French,,pumpkin / pompion,195,37,#221F1D,French
470,8249,13,18-36,promise,,,13,13,72212320330445065,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1400 [13],French contact [13],c. 1400,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,775.0,promise,immediate,French,promettre,French,,promise / promettre,195,38,#221F1D,French
278,7706,13,9-342,press,,,13,13,72212320356364767,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Coexistence,,,,,,,,,Latin etymon is formed from the past participle of premere ‘to press’,,,,Present in pre-contact environment,,765.0,press,immediate,French,presser,French,,press / presser,195,39,#221F1D,French
327,7844,13,11-24,preserve,,,13,13,72212320879381674,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1375 [13],French contact [13],1375,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,761.0,preserve,immediate,French,préserver,French,,preserve / préserver,195,40,#221F1D,French
3,6968,13,1-222,precipice,,,13,13,72212319588761357,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1598 [13],Latin contact [13],1598,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,758.0,precipice,immediate,French,precipice,French,,precipice / precipice,195,41,#221F1D,French
555,8383,13,22-17,pray,,,13,13,72212320105339101,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1290 [13],French contact [13],c. 1290,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,754.0,pray,immediate,French,prier,French,,pray / prier,195,42,#221F1D,French
60,7131,13,3-5,poultry,,,13,13,72212320196121594,1.0,1.0,0.5,1. clearly borrowed,analyzable derived,c. 1300 [13],French contact [13],c. 1300,,,,,,Coexistence,,archaic POULT + -RY ‘collective’,,,,,,,,,,,Present in pre-contact environment,,750.0,poultry,immediate,French,pouleterie,French,,poultry / pouleterie,195,43,#221F1D,French
135,7418,13,5-26,pot,,,13,13,72212320581705553,0.75,1.0,1.0,2. probably borrowed,unanalyzable,Proto-West Germanic [13],French contact [13],Proto-West Germanic,,,,,,No information,,,,,,,,,"The word is Common West Germanic but may be a loan into Latin, with its presence in English reinforced by (?re)borrowing from French",,,,Present in pre-contact environment,,745.0,pot,immediate,French,pot,French,,pot / pot,195,44,#221F1D,French
612,8439,13,23-43,postcard,,,13,13,72212320425234196,1.0,0.8,0.5,1. clearly borrowed,analyzable compound,1870 [13],French contact [13],1870,Both elements are borrowed,,,CARD first attested 1511/1512.,,Insertion,,POST + CARD,,,,,,,possibly of Egyptian origin; the term entered via Greek and Latin into French and then English.,,,,Present only since contact,,743.0,postcard,immediate,French,carte,French,,postcard / carte,195,45,#221F1D,French
224,7585,13,7-56,post,,,13,13,72212320928876974,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,Old English [13],Latin contact [13],Old English,,,,,,Coexistence,,,,,,Possible from prostāre ‘to stand up’,,,,,,,Present in pre-contact environment,,741.0,post,immediate,French,poste,French,,post / poste,195,46,#221F1D,French
590,8436,13,23-4,post,,,13,13,72212320609186007,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1506 [13],French contact [13],1506,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,741.0,post,immediate,French,poste,French,,post / poste,195,47,#221F1D,French
585,8427,13,23-33,police,,,13,13,72212320121618607,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,c. 1540 [13],French contact [13],c. 1540,,,,,,Coexistence,,,,,,,,,Greek to Latin to French to English.,,,,Present in pre-contact environment,,731.0,police,immediate,French,police,French,,police / police,195,48,#221F1D,French
127,7386,13,4-89,poison,,,13,13,72212320890912835,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1230 [13],French contact [13],c. 1230,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,729.0,poison,immediate,French,poison,French,,poison / poison,195,49,#221F1D,French
365,7924,13,12-352,pointed,,,13,13,72212320981709235,1.0,1.0,0.5,1. clearly borrowed,analyzable derived,c. 1325 [13],French contact [13],c. 1325,,,,,,Replacement,,POINT + -ED(adjectival),,,,,,,,,,,Present in pre-contact environment,,727.0,pointed,immediate,French,point,French,,pointed / point,195,50,#221F1D,French
477,8263,13,18-67,poet,,,13,13,72212320417627107,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,725.0,poet,immediate,French,poète,French,,poet / poète,195,51,#221F1D,French
504,8304,13,19-63,plot,,,13,13,72212320308530800,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1377 [13],French contact [13],1377,,,,,,No information,,,,,,,,,,,,,No information,,722.0,plot,immediate,French,plat,French,,plot / plat,195,52,#221F1D,French
4,6969,13,1-23,plain,,,13,13,7221231958638727,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1325 [13],French contact [13],1325,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,710.0,plain,immediate,French,plain,French,,plain / plain,195,53,#221F1D,French
236,7608,13,8-26,pitchfork,,,13,13,7221232069451792,1.0,1.0,0.5,1. clearly borrowed,analyzable compound,1364 [13],French contact [13],1364,,,,,,Insertion,,PITCH + FORK (which see),,,,,,,,,,,Present only since contact,,704.0,pitchfork,immediate,French,pic,French,,pitchfork / pic,195,54,#221F1D,French
109,7340,13,4-65,piss,,,13,13,72212320226874373,0.75,1.0,1.0,2. probably borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Insertion,,,,,,,,,,,Colloquial,,Present in pre-contact environment,,703.0,piss,immediate,French,pisser,French,,piss / pisser,195,55,#221F1D,French
359,7910,13,12-213,pile up,,,13,13,7221232089011219,1.0,1.0,0.5,1. clearly borrowed,analyzable phrasal,1440 [13],French contact [13],1440,,,,The sense of the verb has developed within English.,,Coexistence,,PILE + UP,,,,,,,,,,,Present in pre-contact environment,,692.0,pile up,immediate,French,pile,French,,pile up / pile,195,56,#221F1D,French
35,7057,13,2-37,parent,,,13,13,72212319755509008,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1450 [13],French contact [13],c. 1450,,,,,,Coexistence,,,,,,,,,Latin parīre ‘to beget’ is the root of this.,,,,Present in pre-contact environment,,665.0,parent,immediate,French,parent,French,,parent / parent,195,57,#221F1D,French
429,8156,13,16-69,pardon,,,13,13,72212320616033894,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1433 [13],French contact [13],1433,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,663.0,pardon,immediate,French,pardonner,French,,pardon / pardonner,195,58,#221F1D,French
97,7281,13,4-331,palm,,,13,13,72212320297679957,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,657.0,palm,immediate,French,paume,French,,palm / paume,195,59,#221F1D,French
253,7650,13,8-81,palm,,,13,13,7221232088954030,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,Early Old English [13],Latin contact [13],Early Old English,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,657.0,palm,immediate,French,paume,French,,palm / paume,195,60,#221F1D,French
413,8126,13,16-31,pain,,,13,13,72212320407768699,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,650.0,pain,immediate,French,peine,French,,pain / peine,195,61,#221F1D,French
494,8289,13,19-45,order,,,13,13,72212320539178656,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1225 [13],French contact [13],c. 1225,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,641.0,order,immediate,French,ordonner,French,,order / ordonner,195,62,#221F1D,French
496,8291,13,19-46,obey,,,13,13,72212320915219809,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1325 [13],French contact [13],before 1325,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,626.0,obey,immediate,French,obéir,French,,obey / obéir,195,63,#221F1D,French
601,8434,13,23-39,number,,,13,13,72212320473516043,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,622.0,number,immediate,French,nombre,French,,number / nombre,195,64,#221F1D,French
42,7075,13,2-53,nephew,,,13,13,72212319517873620,0.75,1.0,1.0,2. probably borrowed,unanalyzable,c. 1325 [13],French contact [13],c. 1325,,,,,,Insertion,,,,,,Semantic change between Latin and English,,,,,,,Present in pre-contact environment,,614.0,nephew,immediate,French,neveu,French,,nephew / neveu,195,65,#221F1D,French
129,7393,13,4-96,mute,,,13,13,7221232029177162,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1300 [13],French contact [13],c. 1300,,,,,,Coexistence,,,,,,,,,"dumb, the word of Proto-West Germanic origin which was formerly used to encode this concept, is now stigmatised",,,,Present in pre-contact environment,,608.0,mute,immediate,French,muet,French,,mute / muet,195,66,#221F1D,French
2,6965,13,1-22,mountain,,,13,13,72212319830637400,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1275 [13],French contact [13],c. 1275,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,595.0,mountain,immediate,French,montagne,French,,mountain / montagne,195,67,#221F1D,French
152,7449,13,5-58,mortar,,,13,13,72212320263451841,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,Late Old English [13],French contact [13],Late Old English,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,585.0,mortar,immediate,French,mortier,French,,mortar / mortier,195,68,#221F1D,French
228,7590,13,7-63,mortar,,,13,13,72212320642065865,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1300 [13],French contact [13],before 1300,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,585.0,mortar,immediate,French,mortier,French,,mortar / mortier,195,69,#221F1D,French
148,7441,13,5-49,mix,,,13,13,72212320384981406,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1440 [13],French contact [13],c. 1440,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,579.0,mix,immediate,French,mixte,French,,mix / mixte,195,70,#221F1D,French
205,7544,13,6-96,mirror,,,13,13,72212320902809091,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1330 [13],French contact [13],c. 1330,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,576.0,mirror,immediate,French,miroir,French,,mirror / miroir,195,71,#221F1D,French
642,7658,13,8-911,millet,,,13,13,7221232062944148,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1425 [13],French contact [13],before 1425,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,572.0,millet,immediate,French,millet,French,,millet / millet,195,72,#221F1D,French
27,7038,13,1-87,match,,,13,13,72212319526672608,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1519 [13],French contact [13],1519,,,,,,No information,,,,,,,,,Greek to Latin to French to English.,,,,No information,,561.0,match,immediate,French,mèche,French,,match / mèche,195,73,#221F1D,French
33,7052,13,2-33,marry,,,13,13,72212319281797392,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1297 [13],French contact [13],c. 1297,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,554.0,marry,immediate,French,marier,French,,marry / marier,195,74,#221F1D,French
262,7661,13,8-92,manioc,,,13,13,72212320807718248,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1554 [13],French contact [13],before 1554,,,,,,Insertion,,,,,,,,,Tupi to Portuguese to French to English.,,,,Present only since contact,,549.0,manioc,immediate,French,manioc,French,,manioc / manioc,195,75,#221F1D,French
561,8395,13,22-42,magic,,,13,13,72212320933441665,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1387-1395 [13],French contact [13],c. 1387-1395,,,,,,Insertion,,,,,,,,,Persian to Greek to Latin to French to English.,,,,Present only since contact,,543.0,magic,immediate,French,magique,French,,magic / magique,195,76,#221F1D,French
607,8416,13,23-19,machine,,,13,13,7221232043730524,1.0,0.9,1.0,1. clearly borrowed,unanalyzable,1545 [13],French contact [13],1545,,,,,,Insertion,,,,,,,,,Latin māchina comes from an early form of Sicilian Greek rather than Attic Greek.,,,,Present only since contact,,541.0,machine,immediate,French,machine,French,,machine / machine,195,77,#221F1D,French
376,7962,13,12-84,line,,,13,13,72212320856028224,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1000 [13],French contact [13],before 1000,,,,,,Insertion,,,,,,,,,,,,,Present in pre-contact environment,,534.0,line,immediate,French,ligne,French,,line / ligne,195,78,#221F1D,French
591,8438,13,23-42,letter,,,13,13,7221232099234456,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1225 [13],French contact [13],before 1225,,,,,,Insertion,,,,,,,,,,,,,Present only since contact,,530.0,letter,immediate,French,lettre,French,,letter / lettre,195,79,#221F1D,French
256,7653,13,8-83,lemon,,,13,13,72212320994001257,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,before 1400 [13],French contact [13],before 1400,,,,,,Insertion,,,,,,,,,This may be connected with sanskrit nimbu ‘lime’. It went from Arabic to Italian to French to English.,,,,Present only since contact,,528.0,lemon,immediate,French,limon,French,,lemon / limon,195,80,#221F1D,French
367,7940,13,12-55,large,,,13,13,72212320396036419,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1175 [13],French contact [13],c. 1175,,,,,,Coexistence,,,,,,,,,The modern sense of ‘big’ has developed within English,,,,Present in pre-contact environment,,520.0,large,immediate,French,large,French,,large / large,195,81,#221F1D,French
466,8240,13,18-24,language,,,13,13,72212320226419928,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1290 [13],French contact [13],1290,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,518.0,language,immediate,French,langage,French,,language / langage,195,82,#221F1D,French
218,7575,13,7-45,lamp,,,13,13,72212320904576801,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1200 [13],French contact [13],c. 1200,,,,,,Insertion,,,,,,,,,Greek lámpein is ‘to shine’,,,,Present only since contact,,516.0,lamp,immediate,French,lampe,French,,lamp / lampe,195,83,#221F1D,French
11,6981,13,1-33,lake,,,13,13,72212319836302606,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,c. 1205 [13],French contact [13],c. 1205,,,,,,Coexistence,,,,,,,,,,,,,Present in pre-contact environment,,515.0,lake,immediate,French,lac,French,,lake / lac,195,84,#221F1D,French
534,8352,13,21-17,judgment,,,13,13,72212320370184944,1.0,1.0,0.5,1. clearly borrowed,analyzable derived,1297 [13],French contact [13],1297,,,,,,Replacement,,judge-NMLZ,,,,,,,,,,,Present in pre-contact environment,,506.0,judgment,immediate,French,jugement,French,,judgment / jugement,195,85,#221F1D,French
535,8353,13,21-18,judge,,,13,13,72212320460879941,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1303 [13],French contact [13],1303,,,,,,Replacement,,,,,,,,,,,,,Present in pre-contact environment,,504.0,judge,immediate,French,juge,French,,judge / juge,195,86,#221F1D,French
360,7911,13,12-22,join,,,13,13,7221232046311663,1.0,1.0,1.0,1. clearly borrowed,unanalyzable,1297 [13],French contact [13],1297,,,,,,Insertion,,,,,,,,,,,,,No information,,502.0,join,immediate,French,joindre,French,,join / joindre,195,87,#221F1D,French
